workload;nodes;consistency_level;throughput
A;1;ONE;2682
A;1;ONE;2451
A;1;ONE;2651
A;1;ONE;2645
A;1;ONE;2523
B;1;ONE;1963
B;1;ONE;1973
B;1;ONE;1975
B;1;ONE;1943
B;1;ONE;1872
C;1;ONE;1811
C;1;ONE;1822
C;1;ONE;1850
C;1;ONE;1840
C;1;ONE;1791
F;1;ONE;1547
F;1;ONE;1511
F;1;ONE;1505
F;1;ONE;1434
F;1;ONE;1581
D;1;ONE;2707
D;1;ONE;2682
D;1;ONE;2718
D;1;ONE;2607
D;1;ONE;2404
A;1;ALL;2915
A;1;ALL;2731
A;1;ALL;2483
A;1;ALL;2478
A;1;ALL;2446
B;1;ALL;1909
B;1;ALL;2207
B;1;ALL;2246
B;1;ALL;2196
B;1;ALL;2214
C;1;ALL;2265
C;1;ALL;2234
C;1;ALL;2263
C;1;ALL;2237
C;1;ALL;2242
F;1;ALL;1610
F;1;ALL;1446
F;1;ALL;1582
F;1;ALL;1424
F;1;ALL;1427
D;1;ALL;2528
D;1;ALL;2501
D;1;ALL;2537
D;1;ALL;2475
D;1;ALL;2148
A;1;QUORUM;2638
A;1;QUORUM;2668
A;1;QUORUM;2585
A;1;QUORUM;2734
A;1;QUORUM;2555
B;1;QUORUM;1840
B;1;QUORUM;1858
B;1;QUORUM;1859
B;1;QUORUM;2033
B;1;QUORUM;2134
C;1;QUORUM;2151
C;1;QUORUM;2116
C;1;QUORUM;2174
C;1;QUORUM;2153
C;1;QUORUM;2151
F;1;QUORUM;1610
F;1;QUORUM;1544
F;1;QUORUM;1522
F;1;QUORUM;1508
F;1;QUORUM;1429
D;1;QUORUM;2838
D;1;QUORUM;2437
D;1;QUORUM;2382
D;1;QUORUM;2426
D;1;QUORUM;2320
A;1;ANY;2642
A;1;ANY;2586
A;1;ANY;2609
A;1;ANY;2613
A;1;ANY;2439
B;1;ANY;1913
B;1;ANY;1870
B;1;ANY;1902
B;1;ANY;1921
B;1;ANY;1859
C;1;ANY;1822
C;1;ANY;1890
C;1;ANY;1891
C;1;ANY;1921
C;1;ANY;1922
F;1;ANY;1658
F;1;ANY;1511
F;1;ANY;1626
F;1;ANY;1465
F;1;ANY;1536
D;1;ANY;2694
D;1;ANY;2741
D;1;ANY;2724
D;1;ANY;2685
D;1;ANY;2369
A;1;TWO;0
A;1;TWO;0
A;1;TWO;0
A;1;TWO;0
A;1;TWO;0
B;1;TWO;0
B;1;TWO;0
B;1;TWO;0
B;1;TWO;0
B;1;TWO;0
C;1;TWO;0
C;1;TWO;0
C;1;TWO;0
C;1;TWO;0
C;1;TWO;0
F;1;TWO;0
F;1;TWO;0
F;1;TWO;0
F;1;TWO;0
F;1;TWO;0
D;1;TWO;0
D;1;TWO;0
D;1;TWO;0
D;1;TWO;0
D;1;TWO;0
A;1;THREE;0
A;1;THREE;0
A;1;THREE;0
A;1;THREE;0
A;1;THREE;0
B;1;THREE;0
B;1;THREE;0
B;1;THREE;0
B;1;THREE;0
B;1;THREE;0
C;1;THREE;0
C;1;THREE;0
C;1;THREE;0
C;1;THREE;0
C;1;THREE;0
F;1;THREE;0
F;1;THREE;0
F;1;THREE;0
F;1;THREE;0
F;1;THREE;0
D;1;THREE;0
D;1;THREE;0
D;1;THREE;0
D;1;THREE;0
D;1;THREE;0
A;2;ONE;1673
A;2;ONE;1814
A;2;ONE;1707
A;2;ONE;1733
A;2;ONE;1671
B;2;ONE;1114
B;2;ONE;1124
B;2;ONE;1126
B;2;ONE;1100
B;2;ONE;1088
C;2;ONE;1045
C;2;ONE;1052
C;2;ONE;1051
C;2;ONE;1053
C;2;ONE;1033
F;2;ONE;935
F;2;ONE;955
F;2;ONE;936
F;2;ONE;918
F;2;ONE;888
D;2;ONE;1398
D;2;ONE;1362
D;2;ONE;1368
D;2;ONE;1123
D;2;ONE;1046
A;2;ALL;1371
A;2;ALL;1469
A;2;ALL;1374
A;2;ALL;1378
A;2;ALL;1338
B;2;ALL;1095
B;2;ALL;1106
B;2;ALL;1105
B;2;ALL;1111
B;2;ALL;1065
C;2;ALL;1033
C;2;ALL;1034
C;2;ALL;1025
C;2;ALL;1025
C;2;ALL;1021
F;2;ALL;794
F;2;ALL;825
F;2;ALL;793
F;2;ALL;812
F;2;ALL;809
D;2;ALL;1514
D;2;ALL;1376
D;2;ALL;1365
D;2;ALL;1339
D;2;ALL;1249
A;2;QUORUM;1409
A;2;QUORUM;1451
A;2;QUORUM;1411
A;2;QUORUM;1327
A;2;QUORUM;1325
B;2;QUORUM;982
B;2;QUORUM;1000
B;2;QUORUM;1050
B;2;QUORUM;1033
B;2;QUORUM;1045
C;2;QUORUM;1088
C;2;QUORUM;1086
C;2;QUORUM;1083
C;2;QUORUM;1080
C;2;QUORUM;1073
F;2;QUORUM;826
F;2;QUORUM;803
F;2;QUORUM;793
F;2;QUORUM;809
F;2;QUORUM;787
D;2;QUORUM;1516
D;2;QUORUM;1455
D;2;QUORUM;1470
D;2;QUORUM;1434
D;2;QUORUM;1228
A;2;ANY;1866
A;2;ANY;1850
A;2;ANY;1965
A;2;ANY;1853
A;2;ANY;1891
